snapped_at,price,market_cap,total_volume
2025-07-27 00:00:00 UTC,1.0001486630383953,2500370.6876941277,1957805.652661457
2025-07-28 00:00:00 UTC,1.000168329574233,2500420.1345565976,2330756.5164345154
2025-07-29 00:00:00 UTC,0.9996598458515441,2499939.584440709,2761359.7085733856
2025-07-30 00:00:00 UTC,0.9995035751041286,2498710.6614712914,2228523.2805116624
2025-07-31 00:00:00 UTC,0.9999218376252761,2499595.275768689,2988618.7425440312
2025-08-01 00:00:00 UTC,0.9997470003565362,2499379.9078699057,3226110.4730317323
2025-08-02 00:00:00 UTC,0.9995131902040755,2598737.5340782697,5368393.535833368
2025-08-03 00:00:00 UTC,0.999610895336894,2598988.3278759243,4283378.271728561
2025-08-04 00:00:00 UTC,0.9999069118817291,2699998.852564358,2256462.4620356844
2025-08-05 00:00:00 UTC,0.9997556551040443,2699713.768357694,4817722.849084251
2025-08-06 00:00:00 UTC,0.9998680866724671,2699643.8340156614,7378789.4274045
2025-08-07 00:00:00 UTC,1.0000462064589186,2700374.7914158367,2732539.4234339944
2025-08-08 00:00:00 UTC,1.0002052259793794,2700516.011154801,3307862.8013383276
2025-08-09 00:00:00 UTC,0.9999787912801945,2699944.0782784736,3085929.616410383
2025-08-10 00:00:00 UTC,1.0001245648014125,2700319.253384996,2313931.1982965386
2025-08-11 00:00:00 UTC,0.9999501907964866,2699853.8568591997,2482208.328187793
2025-08-12 00:00:00 UTC,0.9998954285050703,2899694.3003673935,3594343.539492419
2025-08-13 00:00:00 UTC,0.9996330902501245,2898935.961725361,3677713.869898013
2025-08-14 00:00:00 UTC,1.000248554821385,2900718.7787815947,3340881.6889395756
2025-08-15 00:00:00 UTC,1.0006004662247836,2902036.5311457496,5542651.739339738
2025-08-16 00:00:00 UTC,1.000532432676898,3201714.8263170975,4542854.633952272
2025-08-17 00:00:00 UTC,1.0004530775944211,3301464.4608356366,2347047.1036892906
2025-08-18 00:00:00 UTC,1.0006039707862682,3502113.897751938,3274261.552679371
2025-08-19 00:00:00 UTC,1.0003965990191117,3501299.2001161124,3468635.1260213186
2025-08-20 00:00:00 UTC,0.9999315366538234,3499760.3782883817,3251562.3980668634
2025-08-21 00:00:00 UTC,1.0000289597001737,3500101.3589506056,2995759.7225082465
2025-08-22 00:00:00 UTC,0.9997241050980104,3498835.0312604182,2094136.903052103
2025-08-23 00:00:00 UTC,0.9995668060209048,3598440.5016752575,4125150.32916926
2025-08-24 00:00:00 UTC,0.999685258699261,3598914.828838327,2262032.423719288
2025-08-25 00:00:00 UTC,0.9997277160263733,3599174.70960728,2860286.5580313248
2025-08-26 00:00:00 UTC,1.0002470337515115,3600367.0493726484,5291569.974455434
2025-08-27 00:00:00 UTC,0.9999113638336578,3600509.6525764535,3023941.841581575
2025-08-28 00:00:00 UTC,0.9999428955235933,3699787.831040586,2624366.6331198323
2025-08-29 00:00:00 UTC,1.0001058464291028,3700391.627312076,1570603.3673314042
2025-08-30 00:00:00 UTC,1.0000313703714485,3699654.835928889,1997596.3836382437
2025-08-31 00:00:00 UTC,0.9999598327518242,3699780.424346593,1172256.80692235
2025-09-01 00:00:00 UTC,1.0000108671212136,3699625.96608061,1039425.1675216913
2025-09-02 00:00:00 UTC,1.0000316783248935,3700116.749789392,1707952.6258644601
2025-09-03 00:00:00 UTC,0.9998645439836986,3699618.38201081,1872152.0487670791
2025-09-04 00:00:00 UTC,1.0002795989711581,3801693.929016687,1477683.8971793533
2025-09-05 00:00:00 UTC,0.9999315756692818,3799739.987543271,705494.3669015022
2025-09-06 00:00:00 UTC,1.0000246605985343,3800093.149945585,1550925.2074524618
2025-09-07 00:00:00 UTC,1.0001160186226696,3798650.61391145,666274.2109862455
2025-09-08 00:00:00 UTC,0.9994173187414697,3797785.8112175846,1227666.4542158372
2025-09-09 00:00:00 UTC,0.9996911002345803,3900006.167352563,2694691.7810587557
2025-09-10 00:00:00 UTC,1.0002533851022224,3900988.2018986656,1959293.5721969153
2025-09-11 00:00:00 UTC,1.0000885651991838,4000354.260796732,1777063.3070299102
2025-09-12 00:00:00 UTC,0.9999667308136725,4099592.884868516,1456043.9155357215
2025-09-13 00:00:00 UTC,1.000261471303984,4201098.179476732,1654873.6248126375
2025-09-14 00:00:00 UTC,1.000048651978511,4202595.89778475,1575769.4503262893
2025-09-15 00:00:00 UTC,0.999820865608006,4202860.961930169,1381933.5753438934
2025-09-16 00:00:00 UTC,1.0003826274957313,4200345.611480411,1310649.7946307068
2025-09-17 00:00:00 UTC,1.0004888450515406,4203065.364410195,1264779.7962402864
2025-09-18 00:00:00 UTC,0.9996727486658747,4198625.544396673,1391435.2211339048
2025-09-19 00:00:00 UTC,1.0005092072796105,4200153.012044304,1490986.2440764513
2025-09-20 00:00:00 UTC,1.0002737224407448,4201149.634251125,933294.6308042492
2025-09-21 00:00:00 UTC,0.999623028691656,4198416.720504955,718205.0041986651
2025-09-22 00:00:00 UTC,1.000917853473993,4203854.984590771,773802.0024168651
2025-09-23 00:00:00 UTC,1.0007181320808525,4202151.85170417,1656880.9715634976
2025-09-24 00:00:00 UTC,1.0004419201812318,4198508.913711124,975785.9107373252
2025-09-25 00:00:00 UTC,1.0000979523840485,4199552.753283073,1131256.0287568823
2025-09-26 00:00:00 UTC,1.0005900503252463,4299572.2223258605,1490194.2011227298
